  SLprs,_inHG |   SLtmp,_degC |   _wind,speed |   _wind,__dir |   __trb,_locl |   _prec,_locl |   _hail,_locl |    
     29.92000 |      29.44440 |      15.60322 |     277.79504 |       0.05000 |       0.02742 |       0.00000 | 
     29.92000 |      29.44440 |      15.60336 |     277.79498 |       0.05000 |       0.02747 |       0.00000 | 
     29.92000 |      29.44440 |      15.60350 |     277.79489 |       0.05000 |       0.02755 |       0.00000 | 
     29.92000 |      29.44440 |      15.60365 |     277.79483 |       0.05000 |       0.02753 |       0.00000 | 
     29.92000 |      29.44440 |      15.60378 |     277.79474 |       0.05000 |       0.02759 |       0.00000 | 
     29.92000 |      29.44440 |      15.60390 |     277.79468 |       0.05000 |       0.02765 |       0.00000 | 
     29.92000 |      29.44440 |      15.60402 |     277.79465 |       0.05000 |       0.02772 |       0.00000 | 
     29.92000 |      29.44440 |      15.60413 |     277.79459 |       0.05000 |       0.02775 |       0.00000 | 
     29.92000 |      29.44440 |      15.60424 |     277.79453 |       0.05000 |       0.02781 |       0.00000 | 
     29.92000 |      29.44440 |      15.60434 |     277.79449 |       0.05000 |       0.02786 |       0.00000 | 
     29.92000 |      29.44440 |      15.60443 |     277.79443 |       0.05000 |       0.02789 |       0.00000 | 
     29.92000 |      29.44440 |      15.60452 |     277.79437 |       0.05000 |       0.02797 |       0.00000 | 
     29.92000 |      29.44440 |      15.60461 |     277.79434 |       0.05000 |       0.02802 |       0.00000 | 
     29.92000 |      29.44440 |      15.60470 |     277.79431 |       0.05000 |       0.02808 |       0.00000 | 
     29.92000 |      29.44440 |      15.60479 |     277.79425 |       0.05000 |       0.02815 |       0.00000 | 
     29.92000 |      29.44440 |      15.60487 |     277.79419 |       0.05000 |       0.02822 |       0.00000 | 
     29.92000 |      29.44440 |      15.60495 |     277.79416 |       0.05000 |       0.02828 |       0.00000 | 
     29.92000 |      29.44440 |      15.60503 |     277.79413 |       0.05000 |       0.02834 |       0.00000 | 
     29.92000 |      29.44440 |      15.60509 |     277.79410 |       0.05000 |       0.02832 |       0.00000 | 
     29.92000 |      29.44440 |      15.60516 |     277.79404 |       0.05000 |       0.02840 |       0.00000 | 
     29.92000 |      29.44440 |      15.60523 |     277.79401 |       0.05000 |       0.02845 |       0.00000 | 
     29.92000 |      29.44440 |      15.60322 |     277.79504 |       0.05000 |       0.00000 |       0.02742 |
     29.92000 |      29.44440 |      15.60336 |     277.79498 |       0.05000 |       0.00000 |       0.02747 | 
     29.92000 |      29.44440 |      15.60350 |     277.79489 |       0.05000 |       0.00000 |       0.02747 | 
     29.92000 |      29.44440 |      15.60365 |     277.79483 |       0.05000 |       0.00000 |       0.02753 | 
     29.92000 |      29.44440 |      15.60378 |     277.79474 |       0.05000 |       0.00000 |       0.02759 |
     29.92000 |      29.44440 |      15.60390 |     277.79468 |       0.05000 |       0.00000 |       0.02765 | 
     29.92000 |      29.44440 |      15.60402 |     277.79465 |       0.05000 |       0.00000 |       0.02772 |
     29.92000 |      29.44440 |      15.60413 |     277.79459 |       0.05000 |       0.00000 |       0.02775 |
     29.92000 |      29.44440 |      15.60424 |     277.79453 |       0.05000 |       0.00000 |       0.02781 | 
     29.92000 |      29.44440 |      15.60434 |     277.79449 |       0.05000 |       0.00000 |       0.02786 |
     29.92000 |      29.44440 |      15.60443 |     277.79443 |       0.05000 |       0.00000 |       0.02789 |       
     29.92000 |      29.44440 |      15.60452 |     277.79437 |       0.05000 |       0.00000 |       0.02797 |       
     29.92000 |      29.44440 |      15.60461 |     277.79434 |       0.05000 |       0.00000 |       0.02802 |       
     29.92000 |      29.44440 |      15.60470 |     277.79431 |       0.05000 |       0.00000 |        0.02808 |       
     29.92000 |      29.44440 |      15.60479 |     277.79425 |       0.05000 |       0.00000 |        0.02815 |       
     29.92000 |      29.44440 |      15.60487 |     277.79419 |       0.05000 |       0.00000 |         0.02822 |       
     29.92000 |      29.44440 |      15.60495 |     277.79416 |       0.05000 |       0.00000 |       0.02828 |       
     29.92000 |      29.44440 |      15.60503 |     277.79413 |       0.05000 |       0.00000 |       0.02834 |       
     29.92000 |      29.44440 |      15.60509 |     277.79410 |       0.05000 |       0.00000 |        0.02832 |      
     29.92000 |      29.44440 |      15.60516 |     277.79404 |       0.05000 |       0.00000 |       0.02840 |       
     29.92000 |      29.44440 |      15.60523 |     277.79401 |       0.05000 |       0.00000 |       0.02845 | 
     29.92000 |      -29.44440 |      15.60322 |     277.79504 |       0.05000 |       0.02742 |       0.00000 | 
     29.92000 |      -29.44440 |      15.60336 |     277.79498 |       0.05000 |       0.02747 |       0.00000 | 
     29.92000 |      -29.44440 |      15.60350 |     277.79489 |       0.05000 |       0.02755 |       0.00000 | 
     29.92000 |      -29.44440 |      15.60365 |     277.79483 |       0.05000 |       0.02753 |       0.00000 | 
     29.92000 |      -29.44440 |      15.60378 |     277.79474 |       0.05000 |       0.02759 |       0.00000 | 
     29.92000 |      -29.44440 |      15.60390 |     277.79468 |       0.05000 |       0.02765 |       0.00000 | 
     29.92000 |      -29.44440 |      15.60402 |     277.79465 |       0.05000 |       0.02772 |       0.00000 | 
     29.92000 |      -29.44440 |      15.60413 |     277.79459 |       0.05000 |       0.02775 |       0.00000 | 
    29.92000 |     -29.44440 |      15.60424 |     277.79453 |       0.05000 |       0.02781 |       0.00000 | 
     29.92000 |      -29.44440 |      15.60434 |     277.79449 |       0.05000 |       0.02786 |       0.00000 | 
   29.92000 |      -29.44440 |      15.60443 |     277.79443 |       0.05000 |       0.02789 |       0.00000 | 
    29.92000 |      -29.44440 |      15.60452 |     277.79437 |       0.05000 |       0.02797 |       0.00000 | 
    29.92000 |      -29.44440 |      15.60461 |     277.79434 |       0.05000 |       0.02802 |       0.00000 | 
    29.92000 |      -29.44440 |      15.60470 |     277.79431 |       0.05000 |       0.02808 |       0.00000 | 
    29.92000 |      -29.44440 |      15.60479 |     277.79425 |       0.05000 |       0.02815 |       0.00000 | 
     29.92000 |      29.44440 |      15.60487 |     277.79419 |       0.05000 |       0.02822 |       0.00000 | 
     29.92000 |      29.44440 |      15.60495 |     277.79416 |       0.05000 |       0.02828 |       0.00000 | 
     29.92000 |      29.44440 |      15.60503 |     277.79413 |       0.05000 |       0.02834 |       0.00000 | 
     29.92000 |      29.44440 |      15.60509 |     277.79410 |       0.05000 |       0.02832 |       0.00000 | 
    29.92000 |      29.44440 |      15.60516 |     277.79404 |       0.05000 |       0.02840 |       0.00000 | 
     29.92000 |      29.44440 |      15.60523 |     277.79401 |       0.05000 |       0.02845 |       0.00000 | 
     29.92000 |      29.44440 |      17.16032 |     277.83551 |       0.06487 |       0.00007 |       0.00000 | 
     29.92000 |      29.44440 |      17.16385 |     277.83563 |       0.06563 |       0.00000 |       0.00000 |  
